Date,CyclonesinIndia,WesternHemisphereWarmPool,OceanNinoIndex,ElNinoPrecipitationIndex,BivariateENSO,NorthAtlanticOscillation,AtlanticSST,EastAsia,AMO,AtlanticHurricaneDays,AntarcticOscillation,Rain,MeanTemp,Methane,Cdioxide,NOX,maxTemp,minTemp,OceanHeat,tsr,msl,Region1,Region2,Region3,Region4,Region5
1/31/1948,13,-0.17,-0.11,,0.26,-99.9,0.66,,0.103,0,,7.65,17.62,,,,24.65,10.64,,,,25.08888889,15.77,31.36,66.29438726,13.5
2/28/1948,5,-0.18,-0.74,,0.43,-99.9,0,,0.103,0,,13.79,19.44,,,,26.57,12.36,,,,29.26666667,24.91,30.86,85.59438726,0
3/31/1948,0,0.26,-0.03,,0.72,-99.9,1,,0.104,0,,13.12,23.46,,,,30.78,16.18,,,,43.06666667,41.21,28.12,101.5143873,4.3
4/30/1948,18,-0.03,-1.33,,0.21,-99.9,1.86,,0.107,0,,40.1,28.49,,,,35.59,21.44,,,,17.72222222,18.62,36.65,249.4143872,28.95
5/31/1948,3,-0.46,-0.23,,0.24,-99.9,1.3,,0.111,0,,68.98,30.85,,,,37.41,24.34,,,,20.27777778,29.99,88.61,532.3743872,36.65
6/30/1948,3,-0.2,0.08,,0.41,-99.9,2.51,,0.114,0,,142.75,29.82,,,,35.06,24.62,,,,32.88888889,103.56,196.84,639.5343872,724.05
7/31/1948,0,-1.6,-0.92,,0.08,-99.9,1.63,,0.118,0,,302.76,27.23,,,,31.22,23.29,,,,155.6,269.62,344.25,911.3743872,1091.65
8/31/1948,6,-2.42,-1.56,,0.25,-99.9,0.55,,0.12,5.5,,239.89,26.34,,,,30.07,22.65,,,,170.5555556,236.33,357.62,439.4543872,885.25
9/30/1948,1,-1.81,-1.74,,0.45,-99.9,-0.48,,0.122,10,,212.39,26.19,,,,30.68,21.75,,,,77.78888889,170.44,232.46,284.5743872,338.95
10/31/1948,2,-2.02,-1.32,,-0.64,-99.9,-0.24,,0.122,4.5,,86.93,25.09,,,,30.96,19.26,,,,44.66666667,52.88,94.06,187.7343873,84.15
