Year,maxTemp,minTemp,MeanTemp,Methane,Cdioxide,NOX,OceanHeat,SCF,CyclonesinIndia,WesternHemisphereWarmPool,OceanNinoIndex,ElNinoPrecipitationIndex,BivariateENSO,NorthAtlanticOscillation,AtlanticSST,EastAsia,AMO,AtlanticHurricaneDays,AntarcticOscillation,GSST,IOMT,TSR,MSL,PDO,Region1,Region2,Region3,Region4,Region5
1948,30.41416667,18.44166667,24.405,,,,,,4.5,-0.890833333,-0.874166667,,0.231666667,-99.9,0.715,,0.114416667,1.729166667,,,,,,,,,,,
1949,30.25416667,18.2575,24.2325,,,,,NaN,2.333333333,-0.695,-1.228333333,,-0.154166667,-99.9,-0.296666667,,0.110916667,1.75,,-0.1422638,0.166428,1366.255,32.02755,9.13E-02,123.1416667,203.34,298.595,573.895,729.825
1950,29.92333333,17.9025,23.89,,,,,NaN,3.333333333,-1.366666667,-1.81,,-1.305833333,-0.158333333,0.758333333,-0.056666667,0.087166667,4.416666667,,-0.1506769,0.10561,1366.013,35.10721,6.93E-02,131.8,206.305,285.435,535.29,782.65
1951,30.44083333,18.4,24.39666667,,,,,8,3.5,0.226666667,-0.769166667,,0.458333333,-0.07,1.348333333,-0.419166667,0.085416667,2.854166667,,-0.1563511,6.61E-02,1365.776,47.25003,4.84E-02,86.35277778,155.7775,252.5125,583.375,651.9125
1952,30.58666667,18.57166667,24.55333333,,,,,5,3.833333333,0.685833333,-0.865833333,,0.0325,-0.495,1.473333333,-0.710833333,0.089416667,1.291666667,,-0.1590186,2.18E-02,1365.768,46.85953,3.15E-02,103.8222222,169.3575,270.955,529.625,594.6375
1953,30.79583333,18.78583333,24.76833333,,,,,3,2,0.593333333,-0.156666667,,0.648333333,-0.090833333,1.628333333,-0.050833333,0.108166667,1.583333333,,-0.1571376,0.208921,1365.628,48.82729,2.09E-02,134.0888889,226.6175,299.4925,415.0816667,780.7375
1954,30.37666667,18.34,24.335,,,,,6,2.5,-1.245,-0.290833333,,-0.4475,-0.085833333,-0.168333333,-0.3175,0.114166667,2.166666667,,-0.1487236,0.107457,1365.656,52.98907,1.82E-02,114.8416667,219.2475,288.13,543.205,902.2625
1955,30.0825,18.23833333,24.13583333,,,,-2,4,3.5,-0.8975,-1.948333333,,-1.150833333,-0.5,2.5025,0.154166667,0.1245,3.583333333,,-0.1325847,0.21886,1365.777,53.50216,2.41E-02,128.1694444,227.755,286.5875,467.7,787.5375
1956,30.03416667,18.18583333,24.08666667,,,,-7,7,3.333333333,-1.2325,-1.804166667,,-0.965,-0.173333333,0.9175,0.061666667,0.133583333,1.083333333,,-0.1094172,0.350723,1366.311,45.56851,3.82E-02,141.8388889,227.2375,312.6,431.995,773.075
1957,30.1325,18.2225,24.155,,,,-1,2,1.833333333,1.1375,0.2275,,0.606666667,-0.2425,-0.358333333,-0.166666667,0.1175,1.75,,-8.22E-02,3.06E-01,1366.668,50.62012,5.85E-02,112.0722222,189.3775,262.6575,503.505,701.2375
